source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4063242162490590720,OGLE-BLG-RRLYR-13351,271.5689,-27.017529,RRLYR,RRab,5.2264647,17.764,1.3110008,0.5254567,,,271.56891026361,1.016,-27.01752898665,0.9272,,,,,,,529.735,17.5266,18.87822,,,,,,,,,,0,,,,,,0.032917,,,,,,-16.452999138964845
4056476283374033536,OGLE-BLG-RRLYR-04846,267.90207,-29.348667,RRLYR,RRab,7.899798,17.562,3.2819996,0.63872784,,,267.90208031672,4.537,-29.34866942074,4.4805,,,,,,,456.729,10.2373,19.039219,,,,,,,,,,0,,,,,,0.033526,,,,,,-14.280000674658204
4068685299157315840,OGLE-BLG-ELL-007572,267.55637,-23.022778,ELL,ELL,7.0436044,14.083,2.6940002,13.029808,,,267.55637475944,2.4112,-23.02276974637,2.1102,,,,,,,12484.9,77.3869,15.447399,,,,,,,,,,0,,,,,,0.033638,,,,,,-11.38899998310547
4056262222327789184,OGLE-BLG-ECL-216037,269.51996,-29.859972,ECL,C,9.401961,16.942,1.4379997,0.426854,,,269.51996838158,0.394,-29.85997789906,0.3435,,,,,,,825.8,20.1331,18.39618,723.792,84.4842,18.202354,2546.34,90.4723,16.247131,1.955223,,,0,,,,,,0.033701,,,,,,-15.503999735424804
4044141893274658048,OGLE-BLG-ECL-258572,270.46075,-30.650528,ECL,NC,8.191965,17.447,1.5679989,1.8988432,,,270.46074960841,0.7538,-30.65051859547,0.6758,,,,,,,719.855,6.50331,18.545254,,,,,,,,,,0,,,,,,0.033878,,,,,,-15.87900160354004
4064755919398746752,OGLE-BLG-RRLYR-15937,273.6962,-25.624722,RRLYR,RRab,16.727896,15.786,1.3879995,0.95451087,,,273.69619023996,1.7965,-25.6247185215,1.7465,,,,,,,3148.84,30.9814,16.94299,,,,,,,,,,0,,,,,,0.034066,,,,,,-14.39800075177002
4062649525677109120,OGLE-BLG-RRLYR-08951,269.4926,-28.243834,RRLYR,RRc,10.029482,16.358,1.9759998,0.37286618,,,269.49259719025,3.9574,-28.24382451904,5.1156,,,,,,,1914.43,29.6951,17.483267,,,,,,,,,,0,,,,,,0.035275,,,,,,-14.382000001635742
4041952318789625600,OGLE-BLG-LPV-047475,267.20474,-33.28064,LPV,Mira,24.465927,18.275,,583.7,,,267.2047463025,6.4913,-33.28063170222,3.6154,,,,,,,377.79,18.9297,19.245241,,,,,,,,,,0,,,,,,0.035385,,,,,,
4062477215954813696,OGLE-BLG-RRLYR-10609,270.17197,-28.707056,RRLYR,RRab,22.987267,15.598,1.1790009,0.52500176,,,270.17196921073,2.1605,-28.70704609306,0.244,,,,,,,5863.94,285.664,16.267893,4626.96,312.408,16.188148,9490.83,359.121,14.818659,1.36949,,,0,5095.63,,,,,0.035752,,,,,,-14.418998672753906
4043659933449874048,OGLE-BLG-RRLYR-06172,268.36334,-31.6485,RRLYR,RRab,14.961171,16.663,2.0170002,0.55111355,,,268.36332847818,0.5105,-31.64850180284,0.6421,,,,,,,1474.3,25.1389,17.766903,646.776,47.1541,18.324503,2297.13,96.7734,16.358955,1.965548,,,0,,,,,,0.035902,,,,,,-14.645999906811523
4043809806452357760,OGLE-BLG-RRLYR-10232,269.99792,-31.436916,RRLYR,RRab,7.574249,15.366,2.3329992,0.5430882,,,269.99792188379,0.9884,-31.43690614132,0.9449,,,,,,,3628.94,81.2735,16.788918,1480.25,57.3173,17.425549,5635.08,126.171,15.384669,2.040879,,,0,4388.2,,,,,0.03596,,,,,,-13.033000975476075
4043651687109652992,OGLE-BLG-RRLYR-07245,268.763,-31.607916,RRLYR,RRc,9.626758,16.116,1.4170017,0.25948888,,,268.76301139175,4.9031,-31.60791881522,4.2725,,,,,,,2408.27,35.8187,17.234102,,,,,,,,,,0,,,,,,0.036367,,,,,,-14.698997521801758
4064934899300493952,OGLE-BLG-ELL-022357,272.9285,-25.622139,ELL,ELL,12.577065,13.755,2.5369997,62.331642,,,272.92849835789,0.8073,-25.62212895941,0.7435,,,,,,,16783.8,184.985,15.126142,4124.16,171.541,16.31305,29815.5,1189.99,13.575814,2.737235,,,0,3709.0,,,,,0.036537,,,,,,-11.218000414440919
4063203615132259328,OGLE-BLG-RRLYR-11830,270.74374,-27.069416,RRLYR,RRab,14.292674,17.06,2.5690002,0.5465448,,,270.74373633982,1.8275,-27.06942564091,1.6597,,,,,,,675.375,24.2442,18.614502,,,,,,,,,,0,,,,,,0.036637,,,,,,-14.490999265942383
4056569746086237696,OGLE-BLG-LPV-082464,268.0286,-29.318417,LPV,Mira,52.055508,16.191,,335.2,,,268.02858822268,19.9431,-29.31841858451,17.6058,,,,,,,646.915,26.579,18.66125,,,,,,,,,,0,,,,,,0.037405,,,,,,
